SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513121,ORICON ENT  ,T ,Q,19.40,19.40,18.55,18.80,18.90,19.45,145,41714,785290.00,
513149,ACROW INDIA ,X ,Q,141.60,141.60,130.65,130.65,130.65,128.75,9,183,25828.00,
513173,STL STR INF ,X ,Q,4.71,4.71,4.28,4.28,4.28,4.49,3,105,451.00,
513216,UTTAM GALVA ,T ,Q,7.09,7.23,7.09,7.20,7.20,6.89,280,479733,3448785.00,
513228,PENNAR STEEL,B ,Q,17.85,17.85,17.20,17.25,17.50,17.80,146,508794,8854784.00,
513250,JYOTI STRUCT,Z ,Q,3.90,4.28,3.90,4.28,4.28,4.08,38,24912,102717.00,
513252,JAY USHIN   ,X ,Q,420.05,463.00,420.05,453.50,445.00,437.45,36,1141,502001.00,
513262,ST.STR.WHEEL,B ,Q,695.30,695.30,668.30,671.90,675.00,689.90,180,945,640918.00,
513269,MAN IND.(I) ,B ,Q,82.55,82.80,80.15,80.45,80.50,81.50,128,15629,1263374.00,
513295,IMEC        ,X ,Q,1.20,1.30,1.18,1.18,1.18,1.24,24,31323,37017.00,
513305,TERRASCOPE  ,X ,Q,2.07,2.08,2.07,2.07,2.07,2.17,14,7935,16471.00,
513307,SYNTHIKO FOI,XT,Q,23.50,23.50,23.50,23.50,23.50,22.75,1,1,23.00,
513335,METALFORGE  ,T ,Q,5.70,5.70,5.22,5.28,5.22,5.43,19,6200,33698.00,
513343,GRAND FOUND ,B ,Q,1.94,2.07,1.94,2.07,2.07,1.98,5,2000,4010.00,
513349,AJMERA      ,B ,Q,122.15,123.90,118.85,120.20,121.20,124.60,732,77744,9497800.00,
513353,COCHIN MIN. ,X ,Q,120.00,124.60,120.00,123.55,123.70,123.40,19,613,75751.00,
513361,ISW LTD     ,XT,Q,0.69,0.75,0.69,0.74,0.74,0.72,63,39198,28130.00,
